route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,jp_trip_desc,jp_trip_desc_symbol,jp_office_id
120200,20180401_weekday,weekday_120200_1,,,1,,,0,0,,,
120400,20180401_weekday,weekday_120400_0,,,1,,,0,0,,,
130100,20180401_weekday,weekday_130100_0,,,1,,,0,0,,,
130100,20180401_weekday,weekday_130100_1,,,1,,,0,0,,,
130100,20180401_weekday,weekday_130100_2,,,1,,,0,0,,,
130100,20180401_weekday,weekday_130100_3,,,1,,,0,0,,,
130100,20180401_weekday,weekday_130100_4,,,1,,,0,0,,,
130100,20180401_weekday,weekday_130100_5,,,1,,,0,0,,,
130100,20180401_weekday,weekday_130100_6,,,1,,,0,0,,,
130100,20180401_weekday,weekday_130100_7,,,1,,,0,0,,,
130100,20180401_weekday,weekday_130100_8,,,1,,,0,0,,,
130100,20180401_weekday,weekday_130100_9,,,1,,,0,0,,,
130110,20180401_weekday,weekday_130110_0,,,0,,,0,0,,,
130110,20180401_weekday,weekday_130110_1,,,0,,,0,0,,,
130110,20180401_weekday,weekday_130110_2,,,0,,,0,0,,,
130110,20180401_weekday,weekday_130110_3,,,0,,,0,0,,,
130110,20180401_weekday,weekday_130110_4,,,0,,,0,0,,,
130110,20180401_weekday,weekday_130110_5,,,0,,,0,0,,,
130110,20180401_weekday,weekday_130110_6,,,0,,,0,0,,,
130110,20180401_weekday,weekday_130110_7,,,0,,,0,0,,,
130110,20180401_weekday,weekday_130110_8,,,0,,,0,0,,,
130110,20180401_weekday,weekday_130110_9,,,0,,,0,0,,,
130110,20180401_weekday,weekday_130110_10,,,0,,,0,0,,,
130200,20180401_weekday,weekday_130200_0,,,1,,,0,0,,,
130300,20180401_weekday,weekday_130300_0,,,1,,,0,0,,,
130300,20180401_weekday,weekday_130300_1,,,1,,,0,0,,,
130310,20180401_weekday,weekday_130310_0,,,0,,,0,0,,,
130310,20180401_weekday,weekday_130310_1,,,0,,,0,0,,,
130500,20180401_weekday,weekday_130500_0,,,1,,,0,0,,,
130510,20180401_weekday,weekday_130510_0,,,0,,,0,0,,,
130600,20180401_weekday,weekday_130600_0,,,1,,,0,0,,,
130600,20180401_weekday,weekday_130600_1,,,1,,,0,0,,,
130600,20180401_weekday,weekday_130600_2,,,1,,,0,0,,,
130610,20180401_weekday,weekday_130610_0,,,0,,,0,0,,,
130610,20180401_weekday,weekday_130610_1,,,0,,,0,0,,,
130610,20180401_weekday,weekday_130610_2,,,0,,,0,0,,,
130700,20180401_weekday,weekday_130700_0,,,1,,,0,0,,,
130710,20180401_weekday,weekday_130710_0,,,0,,,0,0,,,
130800,20180401_weekday,weekday_130800_0,,,1,,,0,0,,,
130810,20180401_weekday,weekday_130810_0,,,0,,,0,0,,,
130900,20180401_weekday,weekday_130900_0,,,1,,,0,0,,,
130900,20180401_weekday,weekday_130900_1,,,1,,,0,0,,,
130900,20180401_weekday,weekday_130900_2,,,1,,,0,0,,,
130900,20180401_weekday,weekday_130900_3,,,1,,,0,0,,,
130900,20180401_weekday,weekday_130900_4,,,1,,,0,0,,,
130900,20180401_weekday,weekday_130900_5,,,1,,,0,0,,,
130900,20180401_weekday,weekday_130900_6,,,1,,,0,0,,,
130900,20180401_weekday,weekday_130900_7,,,1,,,0,0,,,
130900,20180401_weekday,weekday_130900_8,,,1,,,0,0,,,
130900,20180401_weekday,weekday_130900_9,,,1,,,0,0,,,
130900,20180401_weekday,weekday_130900_10,,,1,,,0,0,,,
131100,20180401_weekday,weekday_131100_0,,,1,,,0,0,,,
131100,20180401_weekday,weekday_131100_1,,,1,,,0,0,,,
131100,20180401_weekday,weekday_131100_2,,,1,,,0,0,,,
131100,20180401_weekday,weekday_131100_3,,,1,,,0,0,,,
131100,20180401_weekday,weekday_131100_4,,,1,,,0,0,,,
131100,20180401_weekday,weekday_131100_5,,,1,,,0,0,,,
131100,20180401_weekday,weekday_131100_6,,,1,,,0,0,,,
131100,20180401_weekday,weekday_131100_7,,,1,,,0,0,,,
131100,20180401_weekday,weekday_131100_school_0,,,1,,,0,0,,,
131110,20180401_weekday,weekday_131110_0,,,0,,,0,0,,,
131110,20180401_weekday,weekday_131110_1,,,0,,,0,0,,,
131110,20180401_weekday,weekday_131110_2,,,0,,,0,0,,,
131110,20180401_weekday,weekday_131110_3,,,0,,,0,0,,,
131110,20180401_weekday,weekday_131110_4,,,0,,,0,0,,,
131110,20180401_weekday,weekday_131110_5,,,0,,,0,0,,,
131110,20180401_weekday,weekday_131110_6,,,0,,,0,0,,,
131110,20180401_weekday,weekday_131110_7,,,0,,,0,0,,,
131110,20180401_weekday,weekday_131110_8,,,0,,,0,0,,,
131110,20180401_weekday,weekday_131110_9,,,0,,,0,0,,,
131110,20180401_weekday,weekday_131110_10,,,0,,,0,0,,,
131110,20180401_weekday,weekday_131110_11,,,0,,,0,0,,,
131500,20180401_weekday,weekday_131500_0,,,1,,,0,0,,,
131610,20180401_weekday,weekday_131610_0,,,0,,,0,0,,,
131700,20180401_weekday,weekday_131700_0,,,1,,,0,0,,,
132200,20180401_weekday,weekday_132200_0,,,1,,,0,0,,,
132200,20180401_weekday,weekday_132200_1,,,1,,,0,0,,,
132200,20180401_weekday,weekday_132200_2,,,1,,,0,0,,,
132200,20180401_weekday,weekday_132200_3,,,1,,,0,0,,,
132200,20180401_weekday,weekday_132200_4,,,1,,,0,0,,,
132200,20180401_weekday,weekday_132200_5,,,1,,,0,0,,,
132200,20180401_weekday,weekday_132200_6,,,1,,,0,0,,,
